location,date,vaccine,total_vaccinations
Argentina,2021-01-19,Sputnik V,256156
Argentina,2021-01-20,Sputnik V,275584
Argentina,2021-01-21,Oxford/AstraZeneca,14
Argentina,2021-01-21,Sinopharm/Beijing,24
Argentina,2021-01-21,Sputnik V,289696
Argentina,2021-01-22,Oxford/AstraZeneca,17
Argentina,2021-01-22,Sinopharm/Beijing,25
Argentina,2021-01-22,Sputnik V,298911
Argentina,2021-01-23,Oxford/AstraZeneca,22
Argentina,2021-01-23,Sputnik V,302851
Argentina,2021-01-24,Oxford/AstraZeneca,23
Argentina,2021-01-24,Sputnik V,303153
Argentina,2021-01-25,Oxford/AstraZeneca,31
Argentina,2021-01-25,Sputnik V,317359
Argentina,2021-01-26,Oxford/AstraZeneca,69
Argentina,2021-01-26,Sinopharm/Beijing,26
Argentina,2021-01-26,Sputnik V,330134
Argentina,2021-01-27,Oxford/AstraZeneca,71
Argentina,2021-01-27,Sputnik V,340239
Argentina,2021-01-28,Sputnik V,356286
Argentina,2021-01-29,Oxford/AstraZeneca,72
Argentina,2021-01-29,Sputnik V,379788
Argentina,2021-01-30,Sputnik V,389102
Argentina,2021-01-31,Sinopharm/Beijing,27
Argentina,2021-01-31,Sputnik V,389725
Argentina,2021-02-01,Oxford/AstraZeneca,91
Argentina,2021-02-01,Sputnik V,409234
Argentina,2021-02-02,Oxford/AstraZeneca,124
Argentina,2021-02-02,Sputnik V,433079
Argentina,2021-02-03,Oxford/AstraZeneca,132
Argentina,2021-02-03,Sinopharm/Beijing,30
Argentina,2021-02-03,Sputnik V,459685
Argentina,2021-02-04,Oxford/AstraZeneca,137
Argentina,2021-02-04,Sinopharm/Beijing,53
Argentina,2021-02-04,Sputnik V,487794
Argentina,2021-02-05,CanSino,2
Argentina,2021-02-05,Oxford/AstraZeneca,142
Argentina,2021-02-05,Sinopharm/Beijing,60
Argentina,2021-02-05,Sputnik V,520822
Argentina,2021-02-06,Sinopharm/Beijing,64
Argentina,2021-02-06,Sputnik V,531747
Argentina,2021-02-07,Sinopharm/Beijing,68
Argentina,2021-02-07,Sputnik V,533126
Argentina,2021-02-08,Oxford/AstraZeneca,144
Argentina,2021-02-08,Sinopharm/Beijing,69
Argentina,2021-02-08,Sputnik V,556549
Argentina,2021-02-09,Oxford/AstraZeneca,146
Argentina,2021-02-09,Sinopharm/Beijing,75
Argentina,2021-02-09,Sputnik V,576740
Argentina,2021-02-10,Oxford/AstraZeneca,149
Argentina,2021-02-10,Sinopharm/Beijing,80
Argentina,2021-02-10,Sputnik V,592358
Argentina,2021-02-11,Oxford/AstraZeneca,152
Argentina,2021-02-11,Sinopharm/Beijing,86
Argentina,2021-02-11,Sputnik V,610205
Argentina,2021-02-12,Oxford/AstraZeneca,153
Argentina,2021-02-12,Sinopharm/Beijing,87
Argentina,2021-02-12,Sputnik V,626044
Argentina,2021-02-13,Oxford/AstraZeneca,155
Argentina,2021-02-13,Sinopharm/Beijing,89
Argentina,2021-02-13,Sputnik V,629076
Argentina,2021-02-14,Sinopharm/Beijing,91
Argentina,2021-02-14,Sputnik V,629226
Argentina,2021-02-15,Pfizer/BioNTech,11
Argentina,2021-02-15,Sinopharm/Beijing,93
Argentina,2021-02-15,Sputnik V,630541
Argentina,2021-02-16,Oxford/AstraZeneca,167
Argentina,2021-02-16,Pfizer/BioNTech,12
Argentina,2021-02-16,Sinopharm/Beijing,95
Argentina,2021-02-16,Sputnik V,631839
Argentina,2021-02-17,Oxford/AstraZeneca,178
Argentina,2021-02-17,Sinopharm/Beijing,98
Argentina,2021-02-17,Sputnik V,656232
Argentina,2021-02-18,Oxford/AstraZeneca,209
Argentina,2021-02-18,Pfizer/BioNTech,13
Argentina,2021-02-18,Sinopharm/Beijing,102
Argentina,2021-02-18,Sputnik V,720026
Argentina,2021-02-19,Oxford/AstraZeneca,393
Argentina,2021-02-19,Sinopharm/Beijing,103
Argentina,2021-02-19,Sputnik V,787733
Argentina,2021-02-20,Oxford/AstraZeneca,541
Argentina,2021-02-20,Sinopharm/Beijing,104
Argentina,2021-02-20,Sputnik V,820205
Argentina,2021-02-21,Oxford/AstraZeneca,942
Argentina,2021-02-21,Sputnik V,839983
Argentina,2021-02-22,Oxford/AstraZeneca,23539
Argentina,2021-02-22,Sputnik V,884961
Argentina,2021-02-23,Oxford/AstraZeneca,73730
Argentina,2021-02-23,Sinopharm/Beijing,106
Argentina,2021-02-23,Sputnik V,921721
Argentina,2021-02-24,Oxford/AstraZeneca,135797
Argentina,2021-02-24,Sinopharm/Beijing,109
Argentina,2021-02-24,Sputnik V,953471
Argentina,2021-02-25,Moderna,56
Argentina,2021-02-25,Oxford/AstraZeneca,188952
Argentina,2021-02-25,Sinopharm/Beijing,113
Argentina,2021-02-25,Sputnik V,979786
Argentina,2021-02-26,Oxford/AstraZeneca,245003
Argentina,2021-02-26,Sinopharm/Beijing,122
Argentina,2021-02-26,Sputnik V,1005420
Argentina,2021-02-27,Oxford/AstraZeneca,258348
Argentina,2021-02-27,Sinopharm/Beijing,123
Argentina,2021-02-27,Sputnik V,1009978
Argentina,2021-02-28,Oxford/AstraZeneca,263698
Argentina,2021-02-28,Sinopharm/Beijing,124
Argentina,2021-02-28,Sputnik V,1010755
Argentina,2021-03-01,Oxford/AstraZeneca,317018
Argentina,2021-03-01,Sinopharm/Beijing,826
Argentina,2021-03-01,Sputnik V,1031300
Argentina,2021-03-02,Oxford/AstraZeneca,368665
Argentina,2021-03-02,Sinopharm/Beijing,5784
Argentina,2021-03-02,Sputnik V,1050328
Argentina,2021-03-03,Oxford/AstraZeneca,404630
Argentina,2021-03-03,Sinopharm/Beijing,23613
Argentina,2021-03-03,Sputnik V,1068012
Argentina,2021-03-04,Oxford/AstraZeneca,430347
Argentina,2021-03-04,Sinopharm/Beijing,87919
Argentina,2021-03-04,Sputnik V,1090074
Argentina,2021-03-05,Oxford/AstraZeneca,454644
Argentina,2021-03-05,Sinopharm/Beijing,154432
Argentina,2021-03-05,Sputnik V,1111018
Argentina,2021-03-06,Oxford/AstraZeneca,462559
Argentina,2021-03-06,Sinopharm/Beijing,196857
Argentina,2021-03-06,Sputnik V,1115619
Argentina,2021-03-07,Oxford/AstraZeneca,467531
Argentina,2021-03-07,Sinopharm/Beijing,203300
Argentina,2021-03-07,Sputnik V,1115996
Argentina,2021-03-08,Oxford/AstraZeneca,499107
Argentina,2021-03-08,Pfizer/BioNTech,14
Argentina,2021-03-08,Sinopharm/Beijing,256243
Argentina,2021-03-08,Sputnik V,1133975
Argentina,2021-03-09,Oxford/AstraZeneca,515447
Argentina,2021-03-09,Sinopharm/Beijing,319355
Argentina,2021-03-09,Sputnik V,1170334
Argentina,2021-03-10,Oxford/AstraZeneca,527534
Argentina,2021-03-10,Sinopharm/Beijing,418087
Argentina,2021-03-10,Sputnik V,1223489
Argentina,2021-03-11,Oxford/AstraZeneca,537477
Argentina,2021-03-11,Sinopharm/Beijing,502978
Argentina,2021-03-11,Sputnik V,1315512
Argentina,2021-03-12,Oxford/AstraZeneca,545000
Argentina,2021-03-12,Sinopharm/Beijing,564118
Argentina,2021-03-12,Sputnik V,1408521
Argentina,2021-03-13,Oxford/AstraZeneca,547975
Argentina,2021-03-13,Sinopharm/Beijing,574624
Argentina,2021-03-13,Sputnik V,1441433
Argentina,2021-03-14,Oxford/AstraZeneca,548024
Argentina,2021-03-14,Sinopharm/Beijing,581281
Argentina,2021-03-14,Sputnik V,1443899
Argentina,2021-03-15,Oxford/AstraZeneca,554446
Argentina,2021-03-15,Sinopharm/Beijing,621899
Argentina,2021-03-15,Sputnik V,1534487
Argentina,2021-03-16,Oxford/AstraZeneca,557570
Argentina,2021-03-16,Sinopharm/Beijing,656574
Argentina,2021-03-16,Sputnik V,1630436
Argentina,2021-03-17,Oxford/AstraZeneca,560280
Argentina,2021-03-17,Sinopharm/Beijing,679542
Argentina,2021-03-17,Sputnik V,1744344
Argentina,2021-03-18,Oxford/AstraZeneca,561965
Argentina,2021-03-18,Sinopharm/Beijing,701689
Argentina,2021-03-18,Sputnik V,1859476
Argentina,2021-03-19,Oxford/AstraZeneca,563810
Argentina,2021-03-19,Pfizer/BioNTech,15
Argentina,2021-03-19,Sinopharm/Beijing,725292
Argentina,2021-03-19,Sputnik V,1960225
Argentina,2021-03-20,Oxford/AstraZeneca,564151
Argentina,2021-03-20,Sinopharm/Beijing,729230
Argentina,2021-03-20,Sputnik V,2006826
Argentina,2021-03-21,CanSino,3
Argentina,2021-03-21,Oxford/AstraZeneca,564174
Argentina,2021-03-21,Sinopharm/Beijing,729579
Argentina,2021-03-21,Sputnik V,2026085
Argentina,2021-03-22,Oxford/AstraZeneca,565645
Argentina,2021-03-22,Sinopharm/Beijing,746977
Argentina,2021-03-22,Sputnik V,2090280
Argentina,2021-03-23,Oxford/AstraZeneca,570334
Argentina,2021-03-23,Sinopharm/Beijing,760536
Argentina,2021-03-23,Sputnik V,2178516
Argentina,2021-03-24,Oxford/AstraZeneca,571612
Argentina,2021-03-24,Sinopharm/Beijing,763677
Argentina,2021-03-24,Sputnik V,2211563
Argentina,2021-03-25,Oxford/AstraZeneca,572963
Argentina,2021-03-25,Sinopharm/Beijing,774580
Argentina,2021-03-25,Sputnik V,2302510
Argentina,2021-03-26,Oxford/AstraZeneca,575616
Argentina,2021-03-26,Sinopharm/Beijing,783752
Argentina,2021-03-26,Sputnik V,2384260
Argentina,2021-03-27,Oxford/AstraZeneca,576505
Argentina,2021-03-27,Sinopharm/Beijing,786060
Argentina,2021-03-27,Sputnik V,2436154
Argentina,2021-03-28,Oxford/AstraZeneca,577405
Argentina,2021-03-28,Pfizer/BioNTech,17
Argentina,2021-03-28,Sinopharm/Beijing,786535
Argentina,2021-03-28,Sputnik V,2455603
Argentina,2021-03-29,Oxford/AstraZeneca,580989
Argentina,2021-03-29,Pfizer/BioNTech,18
Argentina,2021-03-29,Sinopharm/Beijing,798038
Argentina,2021-03-29,Sputnik V,2560713
Argentina,2021-03-30,Oxford/AstraZeneca,583859
Argentina,2021-03-30,Pfizer/BioNTech,19
Argentina,2021-03-30,Sinopharm/Beijing,808538
Argentina,2021-03-30,Sputnik V,2710372
Argentina,2021-03-31,Oxford/AstraZeneca,603791
Argentina,2021-03-31,Sinopharm/Beijing,820549
Argentina,2021-03-31,Sputnik V,2853390
Argentina,2021-04-01,Oxford/AstraZeneca,629360
Argentina,2021-04-01,Sinopharm/Beijing,824312
Argentina,2021-04-01,Sputnik V,2941204
Argentina,2021-04-02,Oxford/AstraZeneca,642181
Argentina,2021-04-02,Sinopharm/Beijing,826633
Argentina,2021-04-02,Sputnik V,2994225
Argentina,2021-04-03,Oxford/AstraZeneca,660824
Argentina,2021-04-03,Sinopharm/Beijing,827724
Argentina,2021-04-03,Sputnik V,3048968
Argentina,2021-04-04,Moderna,57
Argentina,2021-04-04,Oxford/AstraZeneca,675216
Argentina,2021-04-04,Sinopharm/Beijing,829385
Argentina,2021-04-04,Sputnik V,3081401
Argentina,2021-04-05,Oxford/AstraZeneca,709042
Argentina,2021-04-05,Sinopharm/Beijing,858516
Argentina,2021-04-05,Sputnik V,3184448
Argentina,2021-04-06,Oxford/AstraZeneca,735500
Argentina,2021-04-06,Sinopharm/Beijing,933665
Argentina,2021-04-06,Sputnik V,3276865
Argentina,2021-04-07,Oxford/AstraZeneca,765737
Argentina,2021-04-07,Sinopharm/Beijing,1051974
Argentina,2021-04-07,Sputnik V,3366769
Argentina,2021-04-08,Oxford/AstraZeneca,789830
Argentina,2021-04-08,Pfizer/BioNTech,22
Argentina,2021-04-08,Sinopharm/Beijing,1182261
Argentina,2021-04-08,Sputnik V,3448361
Argentina,2021-04-09,Oxford/AstraZeneca,808182
Argentina,2021-04-09,Sinopharm/Beijing,1329840
Argentina,2021-04-09,Sputnik V,3522844
Argentina,2021-04-10,Oxford/AstraZeneca,812998
Argentina,2021-04-10,Sinopharm/Beijing,1383828
Argentina,2021-04-10,Sputnik V,3556986
Argentina,2021-04-11,Oxford/AstraZeneca,813864
Argentina,2021-04-11,Sinopharm/Beijing,1416686
Argentina,2021-04-11,Sputnik V,3571579
Argentina,2021-04-12,Oxford/AstraZeneca,823778
Argentina,2021-04-12,Sinopharm/Beijing,1512035
Argentina,2021-04-12,Sputnik V,3648136
Argentina,2021-04-13,Moderna,58
Argentina,2021-04-13,Oxford/AstraZeneca,832115
Argentina,2021-04-13,Sinopharm/Beijing,1594518
Argentina,2021-04-13,Sputnik V,3743399
Argentina,2021-04-14,Oxford/AstraZeneca,838554
Argentina,2021-04-14,Pfizer/BioNTech,23
Argentina,2021-04-14,Sinopharm/Beijing,1661889
Argentina,2021-04-14,Sputnik V,3841281
Argentina,2021-04-15,Oxford/AstraZeneca,842752
Argentina,2021-04-15,Sinopharm/Beijing,1713061
Argentina,2021-04-15,Sputnik V,3937023
Argentina,2021-04-16,Oxford/AstraZeneca,846035
Argentina,2021-04-16,Sinopharm/Beijing,1759168
Argentina,2021-04-16,Sputnik V,4011367
Argentina,2021-04-17,Oxford/AstraZeneca,846928
Argentina,2021-04-17,Sinopharm/Beijing,1775281
Argentina,2021-04-17,Sputnik V,4040080
Argentina,2021-04-18,Oxford/AstraZeneca,848202
Argentina,2021-04-18,Sinopharm/Beijing,1777544
Argentina,2021-04-18,Sputnik V,4056447
Argentina,2021-04-19,Oxford/AstraZeneca,863594
Argentina,2021-04-19,Pfizer/BioNTech,24
Argentina,2021-04-19,Sinopharm/Beijing,1802502
Argentina,2021-04-19,Sputnik V,4106588
Argentina,2021-04-20,Oxford/AstraZeneca,916128
Argentina,2021-04-20,Sinopharm/Beijing,1826535
Argentina,2021-04-20,Sputnik V,4152758
Argentina,2021-04-21,CanSino,4
Argentina,2021-04-21,Moderna,59
Argentina,2021-04-21,Oxford/AstraZeneca,1036408
Argentina,2021-04-21,Sinopharm/Beijing,1847746
Argentina,2021-04-21,Sputnik V,4185246
Argentina,2021-04-22,CanSino,5
Argentina,2021-04-22,Oxford/AstraZeneca,1153729
Argentina,2021-04-22,Sinopharm/Beijing,1863303
Argentina,2021-04-22,Sputnik V,4230576
Argentina,2021-04-23,Oxford/AstraZeneca,1272055
Argentina,2021-04-23,Sinopharm/Beijing,1877399
Argentina,2021-04-23,Sputnik V,4292727
Argentina,2021-04-24,Oxford/AstraZeneca,1325917
Argentina,2021-04-24,Sinopharm/Beijing,1878970
Argentina,2021-04-24,Sputnik V,4329528
Argentina,2021-04-25,Oxford/AstraZeneca,1358377
Argentina,2021-04-25,Sinopharm/Beijing,1879344
Argentina,2021-04-25,Sputnik V,4346014
Argentina,2021-04-26,Oxford/AstraZeneca,1431470
Argentina,2021-04-26,Sinopharm/Beijing,1886911
Argentina,2021-04-26,Sputnik V,4437481
Argentina,2021-04-27,Oxford/AstraZeneca,1490590
Argentina,2021-04-27,Sinopharm/Beijing,1894268
Argentina,2021-04-27,Sputnik V,4524765
Argentina,2021-04-28,Oxford/AstraZeneca,1542721
Argentina,2021-04-28,Pfizer/BioNTech,25
Argentina,2021-04-28,Sinopharm/Beijing,1922224
Argentina,2021-04-28,Sputnik V,4603692
Argentina,2021-04-29,Oxford/AstraZeneca,1581436
Argentina,2021-04-29,Sinopharm/Beijing,1962355
Argentina,2021-04-29,Sputnik V,4681128
Argentina,2021-04-30,Oxford/AstraZeneca,1611976
Argentina,2021-04-30,Sinopharm/Beijing,1998514
Argentina,2021-04-30,Sputnik V,4729384
Argentina,2021-05-01,Oxford/AstraZeneca,1617232
Argentina,2021-05-01,Sinopharm/Beijing,2002227
Argentina,2021-05-01,Sputnik V,4740717
Argentina,2021-05-02,Oxford/AstraZeneca,1623823
Argentina,2021-05-02,Sinopharm/Beijing,2016358
Argentina,2021-05-02,Sputnik V,4760171
Argentina,2021-05-03,Oxford/AstraZeneca,1647435
Argentina,2021-05-03,Pfizer/BioNTech,26
Argentina,2021-05-03,Sinopharm/Beijing,2090324
Argentina,2021-05-03,Sputnik V,4837320
Argentina,2021-05-04,Oxford/AstraZeneca,1671033
Argentina,2021-05-04,Sinopharm/Beijing,2184421
Argentina,2021-05-04,Sputnik V,4951684
Argentina,2021-05-05,Oxford/AstraZeneca,1695944
Argentina,2021-05-05,Sinopharm/Beijing,2262996
Argentina,2021-05-05,Sputnik V,5093206
Argentina,2021-05-06,Oxford/AstraZeneca,1713778
Argentina,2021-05-06,Pfizer/BioNTech,27
Argentina,2021-05-06,Sinopharm/Beijing,2327589
Argentina,2021-05-06,Sputnik V,5213599
Argentina,2021-05-07,CanSino,6
Argentina,2021-05-07,Oxford/AstraZeneca,1727736
Argentina,2021-05-07,Sinopharm/Beijing,2423700
Argentina,2021-05-07,Sputnik V,5308915
Argentina,2021-05-08,Oxford/AstraZeneca,1731794
Argentina,2021-05-08,Sinopharm/Beijing,2465320
Argentina,2021-05-08,Sputnik V,5337520
Argentina,2021-05-09,Oxford/AstraZeneca,1733533
Argentina,2021-05-09,Sinopharm/Beijing,2468821
Argentina,2021-05-09,Sputnik V,5350978
Argentina,2021-05-10,Oxford/AstraZeneca,1743457
Argentina,2021-05-10,Sinopharm/Beijing,2532969
Argentina,2021-05-10,Sputnik V,5418583
Argentina,2021-05-11,Moderna,60
Argentina,2021-05-11,Oxford/AstraZeneca,1751720
Argentina,2021-05-11,Pfizer/BioNTech,28
Argentina,2021-05-11,Sinopharm/Beijing,2597797
Argentina,2021-05-11,Sputnik V,5485948
Argentina,2021-05-12,Moderna,61
Argentina,2021-05-12,Oxford/AstraZeneca,1757499
Argentina,2021-05-12,Sinopharm/Beijing,2737148
Argentina,2021-05-12,Sputnik V,5538440
Argentina,2021-05-13,Oxford/AstraZeneca,1763194
Argentina,2021-05-13,Sinopharm/Beijing,2885860
Argentina,2021-05-13,Sputnik V,5576195
Argentina,2021-05-14,Oxford/AstraZeneca,1772386
Argentina,2021-05-14,Sinopharm/Beijing,3034193
Argentina,2021-05-14,Sputnik V,5615179
Argentina,2021-05-15,Oxford/AstraZeneca,1775464
Argentina,2021-05-15,Sinopharm/Beijing,3084636
Argentina,2021-05-15,Sputnik V,5656752
Argentina,2021-05-16,Oxford/AstraZeneca,1776939
Argentina,2021-05-16,Sinopharm/Beijing,3127946
Argentina,2021-05-16,Sputnik V,5679567
Argentina,2021-05-17,Oxford/AstraZeneca,1784239
Argentina,2021-05-17,Sinopharm/Beijing,3223688
Argentina,2021-05-17,Sputnik V,5763493
Argentina,2021-05-18,Oxford/AstraZeneca,1794030
Argentina,2021-05-18,Sinopharm/Beijing,3268628
Argentina,2021-05-18,Sputnik V,5907040
Argentina,2021-05-19,Oxford/AstraZeneca,1801376
Argentina,2021-05-19,Pfizer/BioNTech,29
Argentina,2021-05-19,Sinopharm/Beijing,3301967
Argentina,2021-05-19,Sputnik V,6034084
Argentina,2021-05-20,Oxford/AstraZeneca,1811880
Argentina,2021-05-20,Sinopharm/Beijing,3337235
Argentina,2021-05-20,Sputnik V,6170922
Argentina,2021-05-21,Oxford/AstraZeneca,1821081
Argentina,2021-05-21,Sinopharm/Beijing,3415441
Argentina,2021-05-21,Sputnik V,6260802
Argentina,2021-05-22,Oxford/AstraZeneca,1822605
Argentina,2021-05-22,Sinopharm/Beijing,3459432
Argentina,2021-05-22,Sputnik V,6315738
Argentina,2021-05-23,Oxford/AstraZeneca,1823021
Argentina,2021-05-23,Sinopharm/Beijing,3482310
Argentina,2021-05-23,Sputnik V,6337714
Argentina,2021-05-24,Oxford/AstraZeneca,1824198
Argentina,2021-05-24,Pfizer/BioNTech,30
Argentina,2021-05-24,Sinopharm/Beijing,3501799
Argentina,2021-05-24,Sputnik V,6405420
Argentina,2021-05-25,Oxford/AstraZeneca,1846273
Argentina,2021-05-25,Sinopharm/Beijing,3504978
Argentina,2021-05-25,Sputnik V,6443585
Argentina,2021-05-26,Oxford/AstraZeneca,1873090
Argentina,2021-05-26,Sinopharm/Beijing,3538556
Argentina,2021-05-26,Sputnik V,6536271
Argentina,2021-05-27,Oxford/AstraZeneca,1918545
Argentina,2021-05-27,Sinopharm/Beijing,3571804
Argentina,2021-05-27,Sputnik V,6626994
Argentina,2021-05-28,Oxford/AstraZeneca,2010887
Argentina,2021-05-28,Sinopharm/Beijing,3600703
Argentina,2021-05-28,Sputnik V,6751851
Argentina,2021-05-29,Oxford/AstraZeneca,2120809
Argentina,2021-05-29,Pfizer/BioNTech,31
Argentina,2021-05-29,Sinopharm/Beijing,3610606
Argentina,2021-05-29,Sputnik V,6859529
Argentina,2021-05-30,Oxford/AstraZeneca,2179925
Argentina,2021-05-30,Sinopharm/Beijing,3612223
Argentina,2021-05-30,Sputnik V,6927636
Argentina,2021-05-31,Oxford/AstraZeneca,2307077
Argentina,2021-05-31,Sinopharm/Beijing,3629122
Argentina,2021-05-31,Sputnik V,7082593
Argentina,2021-06-01,Oxford/AstraZeneca,2456152
Argentina,2021-06-01,Sinopharm/Beijing,3642678
Argentina,2021-06-01,Sputnik V,7234907
Argentina,2021-06-02,CanSino,7
Argentina,2021-06-02,Oxford/AstraZeneca,2619682
Argentina,2021-06-02,Sinopharm/Beijing,3655821
Argentina,2021-06-02,Sputnik V,7367606
Argentina,2021-06-03,Oxford/AstraZeneca,2842581
Argentina,2021-06-03,Sinopharm/Beijing,3668030
Argentina,2021-06-03,Sputnik V,7482157
Argentina,2021-06-04,Oxford/AstraZeneca,3147641
Argentina,2021-06-04,Sinopharm/Beijing,3683886
Argentina,2021-06-04,Sputnik V,7569431
Argentina,2021-06-05,Oxford/AstraZeneca,3425368
Argentina,2021-06-05,Sinopharm/Beijing,3688562
Argentina,2021-06-05,Sputnik V,7613844
Argentina,2021-06-06,Oxford/AstraZeneca,3613248
Argentina,2021-06-06,Sinopharm/Beijing,3690596
Argentina,2021-06-06,Sputnik V,7641286
Argentina,2021-06-07,Oxford/AstraZeneca,3892682
Argentina,2021-06-07,Sinopharm/Beijing,3699954
Argentina,2021-06-07,Sputnik V,7705669
Argentina,2021-06-08,Oxford/AstraZeneca,4170132
Argentina,2021-06-08,Sinopharm/Beijing,3708059
Argentina,2021-06-08,Sputnik V,7790036
Argentina,2021-06-09,Moderna,62
Argentina,2021-06-09,Oxford/AstraZeneca,4429171
Argentina,2021-06-09,Pfizer/BioNTech,32
Argentina,2021-06-09,Sinopharm/Beijing,3714853
Argentina,2021-06-09,Sputnik V,7896569
Argentina,2021-06-10,Oxford/AstraZeneca,4653074
Argentina,2021-06-10,Sinopharm/Beijing,3720895
Argentina,2021-06-10,Sputnik V,8001702
Argentina,2021-06-11,Oxford/AstraZeneca,4837263
Argentina,2021-06-11,Sinopharm/Beijing,3731625
Argentina,2021-06-11,Sputnik V,8173591
Argentina,2021-06-12,Oxford/AstraZeneca,4903250
Argentina,2021-06-12,Sinopharm/Beijing,3743706
Argentina,2021-06-12,Sputnik V,8280612
Argentina,2021-06-13,Oxford/AstraZeneca,4947903
Argentina,2021-06-13,Sinopharm/Beijing,3745529
Argentina,2021-06-13,Sputnik V,8316809
Argentina,2021-06-14,Oxford/AstraZeneca,5074741
Argentina,2021-06-14,Sinopharm/Beijing,3756163
Argentina,2021-06-14,Sputnik V,8417314
Argentina,2021-06-15,Oxford/AstraZeneca,5204050
Argentina,2021-06-15,Sinopharm/Beijing,3761945
Argentina,2021-06-15,Sputnik V,8540060
Argentina,2021-06-16,Oxford/AstraZeneca,5389777
Argentina,2021-06-16,Sinopharm/Beijing,3766748
Argentina,2021-06-16,Sputnik V,8636661
Argentina,2021-06-17,Oxford/AstraZeneca,5618888
Argentina,2021-06-17,Sinopharm/Beijing,3773079
Argentina,2021-06-17,Sputnik V,8715617
Argentina,2021-06-18,Moderna,63
Argentina,2021-06-18,Oxford/AstraZeneca,5943624
Argentina,2021-06-18,Pfizer/BioNTech,35
Argentina,2021-06-18,Sinopharm/Beijing,3778976
Argentina,2021-06-18,Sputnik V,8784299
Argentina,2021-06-19,Oxford/AstraZeneca,6130146
Argentina,2021-06-19,Sinopharm/Beijing,3781545
Argentina,2021-06-19,Sputnik V,8827805
Argentina,2021-06-20,Oxford/AstraZeneca,6208101
Argentina,2021-06-20,Sinopharm/Beijing,3781837
Argentina,2021-06-20,Sputnik V,8848771
Argentina,2021-06-21,Oxford/AstraZeneca,6346402
Argentina,2021-06-21,Sinopharm/Beijing,3783131
Argentina,2021-06-21,Sputnik V,8878881
Argentina,2021-06-22,Oxford/AstraZeneca,6573880
Argentina,2021-06-22,Pfizer/BioNTech,36
Argentina,2021-06-22,Sinopharm/Beijing,3789076
Argentina,2021-06-22,Sputnik V,8933334
Argentina,2021-06-23,Oxford/AstraZeneca,6767705
Argentina,2021-06-23,Sinopharm/Beijing,3813420
Argentina,2021-06-23,Sputnik V,8978330
Argentina,2021-06-24,Oxford/AstraZeneca,6942837
Argentina,2021-06-24,Sinopharm/Beijing,3886578
Argentina,2021-06-24,Sputnik V,9034578
Argentina,2021-06-25,CanSino,8
Argentina,2021-06-25,Oxford/AstraZeneca,7162445
Argentina,2021-06-25,Pfizer/BioNTech,38
Argentina,2021-06-25,Sinopharm/Beijing,3996427
Argentina,2021-06-25,Sputnik V,9081915
Argentina,2021-06-26,Oxford/AstraZeneca,7355635
Argentina,2021-06-26,Sinopharm/Beijing,4088132
Argentina,2021-06-26,Sputnik V,9113187
Argentina,2021-06-27,Oxford/AstraZeneca,7454861
Argentina,2021-06-27,Sinopharm/Beijing,4145989
Argentina,2021-06-27,Sputnik V,9132341
